System,Averaged_Human_Rating,BLEU-4,deltaBLEU-4_Uniformed,deltaBLEU-4_Global,ROUGE-2,ROUGE-L,Distinct-1,Distinct-2,Distinct-3
S_1,3.3638000000000003,17.653789820698076,17.653789820698076,7.182782846759496,0.054620955502407545,0.22771435390172304,0.8893465831686915,0.9929473862406959,0.9960791937309178
S_2,3.4414499999999997,17.48026225595978,17.48026225595978,7.182356266821142,0.05375137009356986,0.2268492487799703,0.8877801702540942,0.9890942301299603,0.9946048929016239
S_3,3.42975,17.710819351900888,17.710819351900888,7.068924897692835,0.05577530562500543,0.22982423944922473,0.8744523692474356,0.9762387685350354,0.9811161937412912
S_4,3.44525,16.112215432255812,16.112215432255812,6.690175304436906,0.04297397894608524,0.19745238138474,0.8865130509305705,0.9842583737949921,0.9895551216381983
S_5,3.3894,22.318505132606102,22.318505132606102,9.133758127717847,0.06254321029827163,0.2342861151528478,0.9015158950791604,0.9889718378252957,0.9962843246544744
S_6,3.47775,19.826322203552376,19.826322203552376,8.039409311032536,0.054188016399197944,0.2170790522226897,0.9058373322001617,0.9894099272252762,0.9945967105434683
S_7,3.43815,16.39299760226814,16.39299760226814,6.832849777146748,0.04380266007609634,0.19902566185183257,0.8840528445534287,0.983401802296893,0.9890019375159737
S_8,3.4332,23.25717307414496,23.25717307414496,9.415932832325398,0.06521653542526545,0.24001817412338233,0.9043038409094729,0.9938953944938979,0.9981449096754881
S_9,3.45035,17.533483742330382,17.533483742330382,7.202897358686438,0.05342472083667592,0.22579835904372306,0.8881398892997633,0.9877906626084895,0.9933930367286901
S_10,3.5239000000000003,18.87267282833309,18.87267282833309,7.709482164426581,0.06169663018613797,0.23796731622262224,0.8645004759508597,0.9792186412906726,0.9877809861119363
S_11,3.5081499999999997,18.693224019735446,18.693224019735446,7.824485538554673,0.05507599069380765,0.22349445558245995,0.8867676913026599,0.9850754066005636,0.9911487868171207
S_12,3.5107000000000004,15.029286041959057,15.029286041959057,5.974037980436243,0.03622070885586207,0.18260422912178606,0.9118288668179032,0.9797725527986031,0.9864645505360298
S_13,3.3919,13.350731282485226,13.350731282485226,5.128009686246794,0.030765374527195136,0.17972408054594327,0.918675219210205,0.9915939995386832,0.9952429459055755
S_14,3.4431,18.558404772093862,18.558404772093862,7.590340401124877,0.05804279905511523,0.23595918480983236,0.8854886263208689,0.9903307154580596,0.995714248638529
S_15,3.5208999999999997,16.147924376337574,16.147924376337574,6.507384420543469,0.03829402594487509,0.18215538175426696,0.926385473106575,0.9899521501927239,0.993372463757404
S_16,3.30535,10.805631803508067,10.805631803508067,4.273970450796941,0.029776190943698568,0.17121819284456088,0.9280982990494132,0.9974902202636075,0.9988454301075269
S_17,3.5396,15.829443247993094,15.829443247993094,6.286878007181859,0.03988926865526687,0.18626591695593256,0.9304673139612388,0.9957585517801315,0.9982344396959483
S_18,3.4545500000000002,13.990492633363793,13.990492633363793,5.428456831342916,0.0353803059952091,0.18038503488968163,0.8985470044731544,0.968648188306852,0.9730135283774058
S_19,3.50975,17.015622157921076,17.015622157921076,6.948357507257557,0.04404640394940125,0.19820595840265998,0.9005405884594881,0.977455737135494,0.9831192285573632
S_20,2.9905999999999997,27.594682731687723,27.594682731687723,11.824193071593768,0.046116574260207065,0.16798632817266115,0.9527181943939425,0.9989231884057972,0.999875
S_21,3.7788886363636363,nan,nan,nan,nan,nan,nan,nan,nan
